Package,Version,kind,href
APackOfTheClones,1.3.0,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/APackOfTheClones
ARCokrig,0.1.3,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/ARCokrig
Colossus,1.4.10,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/Colossus
DPQ,0.6-1,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/DPQ
ECOSolveR,0.6.1,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/ECOSolveR
KSgeneral,2.0.2,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/KSgeneral
ROI.plugin.qpoases,1.0-3,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/ROI.plugin.qpoases
ROracle,1.5-1,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/ROracle
RSSL,0.9.8,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/RSSL
RTriangle,1.6-0.15,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/RTriangle
Rbeast,1.0.2,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/Rbeast
RcppAlgos,2.10.0,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/RcppAlgos
cmpp,0.0.2,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/cmpp
creditr,0.6.2,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/creditr
crownsegmentr,1.0.1,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/crownsegmentr
elmNNRcpp,1.0.5,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/elmNNRcpp
gbm,2.2.3,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/gbm
gkwdist,1.1.2,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/gkwdist
hdf5r,1.3.12,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/hdf5r
hdtg,0.3.4,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/hdtg
hibayes,3.1.0,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/hibayes
lidR,4.2.3,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/lidR
memuse,4.2-3,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/memuse
mig,2.0,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/mig
minimaxApprox,0.5.0,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/minimaxApprox
minired,1.0.1,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/minired
mmap,0.6-24,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/mmap
nlme,3.1-168,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/nlme
plmmr,4.2.3,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/plmmr
profoc,1.3.4,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/profoc
quanteda.textmodels,0.9.10,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/quanteda.textmodels
recmap,1.0.20,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/recmap
retistruct,0.8.1,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/retistruct
rlas,1.8.4,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/rlas
rxode2,5.0.2,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/rxode2
smoothemplik,0.0.17,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/smoothemplik
stelfi,1.0.2,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/stelfi
tiledb,0.33.0,linux-arm64,https://github.com/r-devel/linux-arm64-checks/tree/HEAD/tiledb
